id,config_id,log_level,event,symbol,direction,exchange,message,details,created_at
183,44,INFO,open_success,STEEMUSDT,LONG,binance,Posição aberta: LONG 243.0 STEEMUSDT @ 0.05745,"{""size"": 243.0, ""order_id"": ""2135711225"", ""open_time"": ""25/02/2026 00:00:00"", ""actual_entry"": 0.05745, ""trigger_type"": ""auto"", ""position_value"": 13.9002, ""funding_rate_pct"": -0.475639}",2026-02-25 03:00:00.214801+00:00
184,43,INFO,open_attempt,STEEMUSDT,SHORT,binance,Tentando abrir SHORT 988.0 STEEMUSDT @ ~0.05716,"{""side"": ""sell"", ""size"": 988.0, ""fee_type"": ""maker"", ""leverage"": 5, ""hedge_mode"": true, ""ccxt_symbol"": ""STEEM/USDT:USDT"", ""entry_price"": 0.05716, ""trigger_type"": ""auto"", ""position_value"": 56.4799, ""prev_funding_rate"": -0.00472761}",2026-02-25 03:00:04.527215+00:00
185,43,ERROR,error,STEEMUSDT,,binance,"Erro crítico counter-trend STEEMUSDT: binance {""code"":-2019,""msg"":""Margin is insufficient.""}","{""exception"": ""binance {\""code\"":-2019,\""msg\"":\""Margin is insufficient.\""}""}",2026-02-25 03:00:05.776853+00:00
186,45,INFO,close_attempt,STEEMUSDT,LONG,binance,Fechando STEEMUSDT @ ~0.0572 | motivo: funding,"{""size"": 258.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""funding"", ""current_price"": 0.0572, ""side_to_close"": ""sell""}",2026-02-25 03:00:15.128385+00:00
187,45,INFO,close_success,STEEMUSDT,LONG,binance,Posição fechada: STEEMUSDT @ 0.0571,"{""order_id"": ""2135719123"", ""exit_price"": 0.05714, ""close_reason"": ""funding""}",2026-02-25 03:00:18.765571+00:00
188,44,INFO,trailing_armed,STEEMUSDT,LONG,binance,Trailing armado em STEEMUSDT: lucro 0.8028% (gatilho 0.8000%),"{""current_price"": 0.05766, ""total_pnl_pct"": 0.8027553606837083, ""trailing_stop_pct"": 0.4, ""trailing_start_profit_pct"": 0.8}",2026-02-25 03:03:50.776551+00:00
189,44,INFO,close_attempt,STEEMUSDT,LONG,binance,Fechando STEEMUSDT @ ~0.0577 | motivo: funding,"{""size"": 243.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""funding"", ""current_price"": 0.05769, ""side_to_close"": ""sell""}",2026-02-25 03:04:15.973390+00:00
190,44,INFO,close_success,STEEMUSDT,LONG,binance,Posição fechada: STEEMUSDT @ 0.0577,"{""order_id"": ""2135758441"", ""exit_price"": 0.05769, ""close_reason"": ""funding""}",2026-02-25 03:04:18.525714+00:00
191,56,INFO,trailing_armed,STEEMUSDT,LONG,binance,Trailing armado em STEEMUSDT: lucro 1.5567% (gatilho 1.3000%),"{""current_price"": 0.05704, ""total_pnl_pct"": 1.556666666666656, ""trailing_stop_pct"": 0.5, ""trailing_start_profit_pct"": 1.3}",2026-02-25 03:22:26.513045+00:00
192,56,INFO,close_attempt,STEEMUSDT,LONG,binance,Fechando STEEMUSDT @ ~0.0569 | motivo: trailing_stop,"{""size"": 527.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""trailing_stop"", ""current_price"": 0.05688, ""side_to_close"": ""sell""}",2026-02-25 03:22:36.814611+00:00
193,56,INFO,close_success,STEEMUSDT,LONG,binance,Posição fechada: STEEMUSDT @ 0.0570,"{""order_id"": ""2135930095"", ""exit_price"": 0.056965, ""close_reason"": ""trailing_stop""}",2026-02-25 03:22:39.371010+00:00
194,45,INFO,open_attempt,STEEMUSDT,LONG,binance,Tentando abrir LONG 237.0 STEEMUSDT @ ~0.06221,"{""side"": ""buy"", ""size"": 237.0, ""fee_type"": ""maker"", ""leverage"": 3, ""hedge_mode"": true, ""ccxt_symbol"": ""STEEM/USDT:USDT"", ""entry_price"": 0.06221, ""funding_rate"": -0.00524101, ""trigger_type"": ""auto"", ""position_value"": 14.7873, ""funding_rate_pct"": -0.524101}",2026-02-25 03:59:47.884281+00:00
195,45,INFO,open_attempt,AWEUSDT,LONG,binance,Tentando abrir LONG 282.0 AWEUSDT @ ~0.05228,"{""side"": ""buy"", ""size"": 282.0, ""fee_type"": ""maker"", ""leverage"": 3, ""hedge_mode"": true, ""ccxt_symbol"": ""AWE/USDT:USDT"", ""entry_price"": 0.05228, ""funding_rate"": -0.00394246, ""trigger_type"": ""auto"", ""position_value"": 14.7873, ""funding_rate_pct"": -0.394246}",2026-02-25 03:59:47.892209+00:00
196,45,INFO,open_attempt,HOLOUSDT,LONG,binance,Tentando abrir LONG 225.0 HOLOUSDT @ ~0.06566,"{""side"": ""buy"", ""size"": 225.0, ""fee_type"": ""maker"", ""leverage"": 3, ""hedge_mode"": true, ""ccxt_symbol"": ""HOLO/USDT:USDT"", ""entry_price"": 0.06566, ""funding_rate"": -0.00827784, ""trigger_type"": ""auto"", ""position_value"": 14.7873, ""funding_rate_pct"": -0.827784}",2026-02-25 03:59:47.901004+00:00
197,45,INFO,open_success,STEEMUSDT,LONG,binance,Posição aberta: LONG 237.0 STEEMUSDT @ 0.0625,"{""size"": 237.0, ""order_id"": ""2136601518"", ""open_time"": ""25/02/2026 00:59:50"", ""actual_entry"": 0.0625, ""trigger_type"": ""auto"", ""position_value"": 14.7873, ""funding_rate_pct"": -0.524101}",2026-02-25 03:59:50.470601+00:00
198,44,INFO,open_attempt,STEEMUSDT,LONG,binance,Tentando abrir LONG 112.0 STEEMUSDT @ ~0.06221,"{""side"": ""buy"", ""size"": 112.0, ""fee_type"": ""maker"", ""leverage"": 1, ""hedge_mode"": true, ""ccxt_symbol"": ""STEEM/USDT:USDT"", ""entry_price"": 0.06221, ""funding_rate"": -0.00524101, ""trigger_type"": ""auto"", ""position_value"": 6.9964, ""funding_rate_pct"": -0.524101}",2026-02-25 03:59:51.399925+00:00
199,44,INFO,open_attempt,ONTUSDT,LONG,binance,Tentando abrir LONG 168.5 ONTUSDT @ ~0.0415,"{""side"": ""buy"", ""size"": 168.5, ""fee_type"": ""maker"", ""leverage"": 1, ""hedge_mode"": true, ""ccxt_symbol"": ""ONT/USDT:USDT"", ""entry_price"": 0.0415, ""funding_rate"": -0.00096508, ""trigger_type"": ""auto"", ""position_value"": 6.9964, ""funding_rate_pct"": -0.096508}",2026-02-25 03:59:51.401712+00:00
200,44,INFO,open_attempt,AWEUSDT,LONG,binance,Tentando abrir LONG 133.0 AWEUSDT @ ~0.05228,"{""side"": ""buy"", ""size"": 133.0, ""fee_type"": ""maker"", ""leverage"": 1, ""hedge_mode"": true, ""ccxt_symbol"": ""AWE/USDT:USDT"", ""entry_price"": 0.05228, ""funding_rate"": -0.00394246, ""trigger_type"": ""auto"", ""position_value"": 6.9964, ""funding_rate_pct"": -0.394246}",2026-02-25 03:59:51.467224+00:00
201,44,INFO,open_attempt,SONICUSDT,LONG,binance,Tentando abrir LONG 148.4 SONICUSDT @ ~0.04714,"{""side"": ""buy"", ""size"": 148.4, ""fee_type"": ""maker"", ""leverage"": 1, ""hedge_mode"": true, ""ccxt_symbol"": ""SONIC/USDT:USDT"", ""entry_price"": 0.04714, ""funding_rate"": -0.00182935, ""trigger_type"": ""auto"", ""position_value"": 6.9964, ""funding_rate_pct"": -0.182935}",2026-02-25 03:59:51.475875+00:00
202,44,INFO,open_success,ONTUSDT,LONG,binance,Posição aberta: LONG 168.5 ONTUSDT @ 0.0416,"{""size"": 168.5, ""order_id"": ""8360228563"", ""open_time"": ""25/02/2026 00:59:55"", ""actual_entry"": 0.0416, ""trigger_type"": ""auto"", ""position_value"": 6.9964, ""funding_rate_pct"": -0.096508}",2026-02-25 03:59:55.160899+00:00
