id,config_id,symbol,direction,entry_price,exit_price,funding_rate,funding_pnl,price_pnl,fee_cost,total_pnl,total_pnl_pct,balance_after,open_time,close_time,trade_timestamp,exchange,close_reason,created_at,updated_at,price_pnl_pct,reconciled_at,entry_score,entry_score_breakdown
102,45,STEEMUSDT,LONG,0.05733000,0.05714000,-0.475639,0.135608,-0.064037,0.005907,0.065664,1.337820,15.565619,24/02/2026 23:59:53,25/02/2026 00:00:18,1771988418786,binance,funding,2026-02-25 03:00:18.787279+00:00,2026-02-25 03:00:18.787279+00:00,-1.304653,2026-02-25 03:00:29.223007+00:00,,
103,44,STEEMUSDT,LONG,0.05745000,0.05769000,-0.475639,0.135608,0.073337,0.013990,0.194955,1.402529,29.458586,25/02/2026 00:00:00,25/02/2026 00:04:18,1771988658531,binance,funding,2026-02-25 03:04:18.531889+00:00,2026-02-25 03:04:18.531889+00:00,0.527592,2026-02-25 03:04:28.804540+00:00,,
104,56,STEEMUSDT,LONG,0.05684000,0.05696520,0.000000,0.000000,0.065980,0.029988,0.035992,0.599872,6.035992,25/02/2026 00:21:16,25/02/2026 00:22:39,1771989759379,binance,trailing_stop,2026-02-25 03:22:39.379799+00:00,2026-02-25 03:22:39.379799+00:00,1.099667,2026-02-25 03:22:47.641821+00:00,,
105,45,STEEMUSDT,LONG,0.06250000,0.06236000,-0.524101,0.116205,-0.030898,0.010362,0.074945,1.520450,15.640564,25/02/2026 00:59:50,25/02/2026 01:00:17,1771992017804,binance,funding,2026-02-25 04:00:17.804882+00:00,2026-02-25 04:00:17.804882+00:00,-0.626853,2026-02-25 04:00:27.144375+00:00,,
106,45,HOLOUSDT,LONG,0.06560000,0.06514000,-0.827784,0.122265,-0.103500,0.014708,0.004057,0.082298,15.608082,25/02/2026 00:59:55,25/02/2026 01:00:20,1771992020116,binance,funding,2026-02-25 04:00:20.116292+00:00,2026-02-25 04:00:20.116292+00:00,-2.099769,2026-02-25 04:00:29.752158+00:00,,
107,44,STEEMUSDT,LONG,0.06247000,0.06251000,-0.524101,0.116205,0.002198,0.006999,0.111404,1.592308,29.569990,25/02/2026 00:59:55,25/02/2026 01:01:07,1771992067570,binance,trailing_stop,2026-02-25 04:01:07.571016+00:00,2026-02-25 04:01:07.571016+00:00,0.031420,2026-02-25 04:01:16.069640+00:00,,
108,44,SONICUSDT,LONG,0.04715000,0.04714000,-0.182935,0.012928,-0.001484,0.002799,0.008645,0.123564,29.578635,25/02/2026 01:00:00,25/02/2026 01:04:19,1771992259515,binance,funding,2026-02-25 04:04:19.515720+00:00,2026-02-25 04:04:19.515720+00:00,-0.021211,2026-02-25 04:04:28.375880+00:00,,
109,44,AWEUSDT,LONG,0.05222000,0.05209000,-0.394246,0.085197,-0.021809,0.004853,0.058535,0.836644,29.637170,25/02/2026 01:00:00,25/02/2026 01:28:33,1771993713864,binance,funding,2026-02-25 04:28:33.864552+00:00,2026-02-25 04:28:33.864552+00:00,-0.311714,2026-02-25 04:28:42.995320+00:00,,
110,45,AWEUSDT,LONG,0.05227000,0.05207000,-0.394246,0.085197,-0.027596,0.011275,0.046325,0.939828,15.690945,25/02/2026 00:59:55,25/02/2026 01:28:50,1771993730961,binance,funding,2026-02-25 04:28:50.961413+00:00,2026-02-25 04:28:50.961413+00:00,-0.559865,2026-02-25 04:29:00.961066+00:00,,
111,45,AWEUSDT,LONG,0.05227000,0.05208000,-0.394246,0.085197,-0.053580,0.007370,0.024247,0.491910,15.664850,25/02/2026 00:59:55,25/02/2026 01:28:51,1771993731324,binance,exchange_sync,2026-02-25 04:28:51.324969+00:00,2026-02-25 04:28:51.324969+00:00,-1.087011,2026-02-25 04:29:01.320790+00:00,,
112,45,STEEMUSDT,LONG,0.05965000,0.05970000,-0.504345,0.214363,0.012450,0.010403,0.216410,4.348661,15.931602,25/02/2026 01:59:53,25/02/2026 02:00:15,1771995615647,binance,funding,2026-02-25 05:00:15.650568+00:00,2026-02-25 05:00:15.650568+00:00,0.250177,2026-02-25 05:00:25.290422+00:00,,
113,44,STEEMUSDT,LONG,0.05965000,0.06005200,-0.504345,0.214363,0.188940,0.019719,0.383584,1.362386,30.020754,25/02/2026 01:59:53,25/02/2026 02:04:11,1771995851713,binance,funding,2026-02-25 05:04:11.713316+00:00,2026-02-25 05:04:11.713316+00:00,0.671063,2026-02-25 05:04:20.317063+00:00,,
114,45,STEEMUSDT,LONG,0.06239000,0.06217000,-0.397392,0.060401,-0.053240,0.010542,-0.003381,-0.067025,15.928221,25/02/2026 02:59:51,25/02/2026 03:00:20,1771999220795,binance,funding,2026-02-25 06:00:20.795950+00:00,2026-02-25 06:00:20.795950+00:00,-1.055301,2026-02-25 06:00:30.359619+00:00,,
115,43,STEEMUSDT,SHORT,0.06215000,0.06175000,0.000000,0.000000,0.361200,0.055941,0.305259,2.702369,35.976794,25/02/2026 03:00:14,25/02/2026 03:02:43,1771999363283,binance,trailing_stop,2026-02-25 06:02:43.283395+00:00,2026-02-25 06:02:43.283395+00:00,3.197596,2026-02-25 06:02:51.880733+00:00,,
116,44,ONTUSDT,LONG,0.04160000,0.04160000,-0.096508,0.006552,0.000000,0.007010,-0.000458,-0.006540,30.020295,25/02/2026 00:59:55,25/02/2026 03:39:21,1772001561603,binance,funding,2026-02-25 06:39:21.603723+00:00,2026-02-25 06:39:21.603723+00:00,0.000000,2026-02-25 06:39:29.810164+00:00,,
117,45,STEEMUSDT,LONG,0.06181000,0.06168000,-0.395955,0.059541,-0.031720,0.015066,0.012756,0.252888,15.940977,25/02/2026 03:59:53,25/02/2026 04:00:22,1772002822757,binance,funding,2026-02-25 07:00:22.757875+00:00,2026-02-25 07:00:22.757875+00:00,-0.628874,2026-02-25 07:00:32.239289+00:00,,
118,43,STEEMUSDT,SHORT,0.06159000,0.06078343,0.000000,0.000000,1.118710,0.059238,1.059472,6.199737,37.036266,25/02/2026 04:00:11,25/02/2026 04:06:47,1772003207042,binance,trailing_stop,2026-02-25 07:06:47.042393+00:00,2026-02-25 07:06:47.042393+00:00,6.546384,2026-02-25 07:06:56.079840+00:00,,
119,45,HOLOUSDT,LONG,0.06924106,0.06879037,-0.580210,0.087644,-0.098250,0.015045,-0.025651,-0.508148,15.915326,25/02/2026 04:59:57,25/02/2026 05:00:23,1772006423722,binance,funding,2026-02-25 08:00:23.722195+00:00,2026-02-25 08:00:23.722195+00:00,-1.946324,2026-02-25 08:00:33.474661+00:00,,
120,45,STEEMUSDT,LONG,0.06295000,0.06329733,-0.393232,0.059551,0.083360,0.010617,0.132294,2.620728,16.056827,25/02/2026 05:00:03,25/02/2026 05:00:25,1772006425795,binance,funding,2026-02-25 08:00:25.795332+00:00,2026-02-25 08:00:25.795332+00:00,1.651355,2026-02-25 08:00:35.245858+00:00,,
121,45,ENSOUSDT,LONG,2.92520000,2.90850000,-0.551081,0.082069,-0.085170,0.014876,-0.017977,-0.356129,16.043329,25/02/2026 04:59:57,25/02/2026 05:00:31,1772006431143,binance,funding,2026-02-25 08:00:31.144024+00:00,2026-02-25 08:00:31.144024+00:00,-1.687211,2026-02-25 08:00:40.134194+00:00,,
122,44,AWEUSDT,LONG,0.05175000,0.05170000,-0.283811,0.080941,-0.027550,0.019946,0.033445,0.117271,30.053741,25/02/2026 05:00:06,25/02/2026 05:04:24,1772006664090,binance,funding,2026-02-25 08:04:24.090243+00:00,2026-02-25 08:04:24.090243+00:00,-0.096601,2026-02-25 08:04:35.209428+00:00,,
123,43,SKRUSDT,SHORT,0.02300655,0.02282523,0.000000,0.000000,0.693574,0.087653,0.605921,3.444253,37.642186,25/02/2026 05:00:12,25/02/2026 05:42:55,1772008975784,binance,trailing_stop,2026-02-25 08:42:55.785213+00:00,2026-02-25 08:42:55.785213+00:00,3.942503,2026-02-25 08:43:04.732714+00:00,,
124,44,STEEMUSDT,LONG,0.05859000,0.05838299,-0.275555,0.050212,-0.066450,0.018774,-0.035012,-0.183780,20.018729,25/02/2026 05:59:52,25/02/2026 06:34:33,1772012073817,binance,funding,2026-02-25 09:34:33.817330+00:00,2026-02-25 09:34:33.817330+00:00,-0.348800,2026-02-25 09:34:42.361592+00:00,,
125,44,STEEMUSDT,LONG,0.05808000,0.05839000,-0.182943,0.033719,0.100440,0.018868,0.115291,0.606227,20.134019,25/02/2026 06:59:52,25/02/2026 07:04:10,1772013850950,binance,funding,2026-02-25 10:04:10.950893+00:00,2026-02-25 10:04:10.950893+00:00,0.528137,2026-02-25 10:04:20.091009+00:00,,
126,44,STEEMUSDT,LONG,0.05808000,0.05840000,-0.182943,0.033719,0.103680,0.009409,0.127990,0.673003,20.274343,25/02/2026 06:59:52,25/02/2026 07:04:11,1772013851567,binance,exchange_sync,2026-02-25 10:04:11.567842+00:00,2026-02-25 10:04:11.567842+00:00,0.545174,2026-02-25 10:04:21.972854+00:00,,
